ItemID,Sentiment,SentimentText
50001,1,@ashsimpsonwentz hey  how are you?
50002,0,"@ashsimpsonwentz http://twitpic.com/2qwpn - Lol look at gogogansters page, all she does is abuse other people, poor thing"
50003,1,"@ashsimpsonwentz http://twitpic.com/2uzx4 - haha, his heads bigger than yours! awwwh, lol"
50004,0,@ashsimpsonwentz http://twitpic.com/3pdzd - thats just disrespectful not only to herself and body but to her dignity as well
50005,0,@ashsimpsonwentz i miss the ash simp show 
50006,1,@ashsimpsonwentz this confused me 4 a min... haha then I realized u were talking about bronx
50007,0,@ashsimpsonwentz: oh so cute! Thank you for sharing. I haven't heard much from you lately 
50008,0,@ashsnl2005 they are giving away red velvet again
50009,0,@AshSoPrecious Where were u @? Didn't know u was gone 
50010,0,@AshSoPrecious Y? I told u what happened. Fkn wit other ppl and got down there LATE. Aww sawwy 
50011,1,@Ashtarte Ahh.   I'll sort out the router this weekend if you like.
50012,1,@Ashtarte Just be your usual supportive self.   Right now I'm blasting music at my anxiety.
50013,1,@ashtastic_xx I'm online now 
50014,1,"@ashthebeliever ?? ?????!! ??? ?????, ???? ?????)) ??? ???? ???????  ?????????, ? ????? ??? ?????????...? "
50015,1,@ashthebeliever Ok thanks - now I know  yes I know 30 SECONDS TO MARS and they are great! #marsiscoming #30secondstomars
50016,1,@ashTHEmcflyGIRL #GetGiBackInTheLead http://bit.ly/be9nb &lt;--- vote for Gio! And post that to help get it into tending topics
50017,0,@ashTHEmcflyGIRL lol. XD shame man 
50018,0,"@ashthon lol, aww man..I'm sad now "
50019,0,@ashtonishing the most difficult thing to defend against 
50020,0,@AshTR Braum's is awesome. Wish we had one here. 
50021,1,"@AshTR Dude, if they release video clips on Xbox Live, you should check out the Project Natal video(s). "
50022,0,"@ashtroid I bet I'm not doing that this evening.  I'll probably just stay in my hotel all day, nothing else to do. ehh;"
50023,1,@ashtsang @ephix HAHAHA woo girl. nice. 
50024,1,@AshTurp oioi beautiful  hows you today? I feel rough!!! x x x
50025,1,@ashtynvictoria agh I love those things! I still eat them atleast once a month 
50026,1,@AshuGreene 
50027,1,@AshuGreene Life is Good!!!!  
50028,1,@AshuGreene Yah..  im happy also!
50029,0,@ashuhleyx  i would but im getting a ride home with my friend and she only has her provisional lisence 
50030,1,"@ashumittal @twilightfairy #wci hashtag simply isn't dying out anytime soon, is it. "
50031,0,@ashurbadaktu Right there with you. 
50032,1,"@ashutosh_gupta Oh, and thanks for your help "
50033,1,@ashwack just letting you know I'm on my way home. 
50034,1,@Ashwee_ THANKS my little crazy child  x
50035,0,@Ashweekay Haha I know... I was going to go... But I don't know if I can handle a full day in a field on my feet  prob going to wilkinsons
50036,0,@ashwinj66 what is it surviving on then? solar power?
50037,0,@artkids according to my wife it is time now to go shopping  lol
50038,1,"@Artlandis @mys7 @shaina81 weeeeee triangoli alle 10:50, ah beata gioventÃ¹"
50039,1,@artlinkgallery Thanks so much for #FollowFriday 
50040,0,"@artlovemusic Nice. It would've been nice.  And no, not really."
50041,1,@Artmaker let me know when you're done.. I'll help promote it 
50042,1,@ArtMind Got five stars from me 
50043,0,@artmind I understand... I have to clean the bathroom too this morning 
50044,1,"@ArtMind wow Mitsy, looks like everyone wants a happy package! "
50045,1,@Artnez oh gotcha... Actually I didnt had deep hierarchy so I was getting same result for both. Anyways Thanks alot 
50046,1,@ArtnMeditation Keep play the Mozart 
50047,1,"@ArtoFaSho 346  &amp; shutup melissa, now he has a ride to northgate."
50048,0,@ArtOfDying any chance you might come back to moncton? i had to miss the show tonight 
50049,1,@artoftalk My pleasure. The site looks fantastic. I think it's great your hosting a show. I can't wait to see it 
50050,0,@artoholicanonms the 24 hour ones have been turning to 12 hour ones.
50051,0,@artonfire SERIOUSLY??? oh my god i remember when spongebob premiered on snick. we are so old 
50052,0,@artoni Swindle could probably sell me that fanfic for a &quot;low low' price. ... I never noticed how many innuendos I actually use. 
50053,1,"@artpetty ha, I can't even get that  Chrome gives me Flash or Browser options though, so phew! "
50054,1,@artransmitte no problem 
50055,0,@artric I suppose so 
50056,0,@artrockrebel damn...i think i may cry myself to sleep tonight.........dude 
50057,1,@artrox hehe...glad I could give you a giggle. It goes with your avatar! 
50058,1,@artrox these are great internet marketing tips... we just need consistency in implementing the ideas presented 
50059,1,@artrudenko thank you for the #FollowMonday 
50060,1,@artrudenko thanks 
50061,1,@Artscapes Yes it was about the dunes shot 
50062,0,@ArtScienceSound i wanna be Adam Watts 
50063,0,"@artsychic5 thnx, I've worked on a nursing home almost 14 yrs, I know just how tough it can be"
50064,0,@ArtsyLiberal why aren't you feeling to good? 
50065,0,@artsySFvibe mines didn't work.. 
50066,1,@ArtsySoul it was great to meet you face to face last night--you are so sweet! the magic of twitter works  I LOVED your work. talk soon.
50067,0,@arttherapy2heal LOL that is old! Haven't watched NCIS for a while
50068,1,"@arturclancy ? ? ????? ????? ??????? ???????, ?? ??????? ? ?????????? ?? ??????? ??????? "
50069,0,@arturferreira The threaded view of SMS doesnt look like chatting it looks like flooding  you have to scroll up to see the message. 
50070,1,"@arturot But I donot know Spanish  Now, I alwyas try 2 dance Salsa when I have time. Like it...Yes, back 2 Tokyo tomorrow..will be fun.."
50071,0,@artusof its a pain. There is a known issue as its happening for all source parameters 
50072,1,@artvisions rainy Sunday mornings are perfect. enjoy your time @ starbucks. 
50073,1,@artyjill I used to sell my prints but have been looking for someone to print my work so I can get more time on my art 
50074,1,@artykel so whats new with you? Any cool ideas and when are we gunna get up for coffee? 
50075,0,@AmandaSue123 forealll me too.
50076,0,@amandasunly haha not fair!!i want to get a pair of nude heels still 
50077,1,@amandaswigert just texted you 
50078,0,@amandateaches - Dude I am sooooo sorry I missed your shower! I am an asshole.  http://myloc.me/28zF
50079,1,"@AmandaTurner While I do like LB, my parents Rn't really the country type, so I've decided the weekend will B shopping  I'm ok w/ that "
50080,1,@AmandaVega I'm working on it.  Thanks for the suggestion.
50081,1,@amandaviel good luck! 
50082,1,@amandavp yea.. I will    haha
50083,1,@AmandaWadsley  you're a spaz 
50084,0,"@AmandaWadsley i thought it'd go all gooey and like melted chocolate and yum, but it just burned and bubbled and i was like damn  x"
50085,1,@AmandaWadsley what week do we go back on? :L LOVEEEE you too 
50086,1,@amandawheel if this means what I think it means then GOOD LUCK!!! Call me if you need help haha love you wheezy 
50087,1,@amandawight Wine: what a miracle worker!! 
50088,0,"@amandawilk106 Oh, tomorrow's part 2?  Crap."
50089,0,"@amandawormann @rachellee625 everyone seems to be at work or too far away  ps. Rach, I ate enough blueberries for both of us today."
50090,1,"@amandaxoxo OMG, it's tomorrow?! Yay!!  Umm, I vote &quot;Angel&quot; or &quot;MftS&quot; or whatever you want. It'll be live so it'll be awesome!!"
50091,0,@amandaxrae @Spennynub I knooooow but I don't have Showtime  I don't have cable period.
50092,0,@amandaxrae he didn't steal me  You both can use me!
50093,0,@amandaxrae Missed the moment I guess Babe... Heartbroken.... 
50094,1,@amanderz Hope you're having an awesome time 
50095,1,@amandick: i dyed mine too!  what color is yours?
50096,0,@Amandinha161 COME DO IT THEN!! Omg  i'm gonna miss you so muchhhh!!
50097,1,@amands42 sorry for late reply ha.. ) oh yeah wear civilian nlang gud  hahaha... and yah.. HEY!!!!!
50098,1,@amanduhhhhh You can find them on bookmans.com or on the same paper schedule in the store.  Phx/Mesa are listed together. 
50099,1,@amanduhmarshall your so dumb 
50100,0,@AmanduhNicole aww I'm sorry  I feel like that happens to everyone that's why I'm never changing my pic ! haha
50101,1,@AmandyyLouLou  Why thankyou  haha
50102,1,@amani_w heii amanii  whaz up?? bug hug
50103,0,"@amanisfly lucky you!! i start at 11  . however, i just have one lesson today, so i finish at 12 haha"
50104,1,@amanisfly the same thing lol..going out with someone special today 
